,Japan Steel Ship Plate Commodity Price $/Tonne,"Austria Steel Production,000 tonnes","Belgium Steel Production,000 tonnes","Italy Steel Production, 000 tonnes","Mexico Steel Production, 000 tonnes","Colombia Steel Production, 000 tonnes","Egypt Steel Production, 000 tonnes",Inflation Indicator Japan % Yr/Yr,Brent Crude Oil Price,Tankers 10k + DWT Orderbook Count
216,900.0,582.0400395543113,550.3653175222959,1690.461449115733,1445.720679900051,112.05456532061402,808.5749981512578,3.874463097447221,77.91136602966598,340.2275175142789
217,900.0,590.3505040292125,552.6859951834504,1690.461449115733,1445.720679900051,111.58910343889373,818.9754159996634,3.6825287293060516,76.59857864007817,335.57342349298494
218,900.0,596.5391302341037,552.1270203734922,1690.461449115733,1445.720679900051,111.58910343889373,821.6677199645889,3.4854443731476414,76.1085841032822,332.29933552719433
219,900.0,601.0625285083795,552.2616589936667,1690.461449115733,1445.720679900051,111.58910343889373,822.3646631783333,3.2971538614457843,75.92569489517875,328.1540818952366
220,900.0,604.3850297223883,552.2292289848014,1690.461449115733,1445.720679900051,111.58910343889373,822.5450773698632,3.1203288209060407,75.85743196584198,325.31709959553393
221,900.0,606.8222935405976,552.2370403057555,1690.461449115733,1445.720679900051,111.58910343889373,822.5917802860598,2.9549876256925587,75.831953001993,321.62165337924347
222,900.0,608.6107918258076,552.2351588158274,1690.461449115733,1445.720679900051,111.58910343889373,822.6038700355567,2.800554930413371,75.82244304387774,319.16787261869257
223,900.0,609.9230983180157,552.2356120047784,1690.461449115733,1445.720679900051,111.58910343889373,822.6069996483261,2.6563517709501303,75.81889347632507,315.87018674955743
224,900.0,610.8860231504698,552.2355028464873,1690.461449115733,1445.720679900051,111.58910343889373,822.6078097954751,2.5217102916757557,75.81756860931112,313.75220379559875
225,900.0,611.5925794299726,552.2355291391242,1690.461449115733,1445.720679900051,111.58910343889373,822.6080195142011,2.395998817417393,75.81707410608541,310.806385187455
226,900.0,612.1110234346679,552.235522806094,1690.461449115733,1445.720679900051,111.58910343889373,822.608073803035,2.2786256294711236,75.8168895340207,308.9825180697681
227,900.0,612.4914376716831,552.2355243315124,1690.461449115733,1445.720679900051,111.58910343889373,822.608087856513,2.1690377931241014,75.81682064296945,306.3480949607706
